series	season	category	title
classic-who	4	Animated Restoration	The Moonbase (3)
classic-who	4	Main Show	The Moonbase (4)
classic-who	4	Animated Restoration	The Macra Terror (1)
classic-who	4	Animated Restoration	The Macra Terror (2)
classic-who	4	Animated Restoration	The Macra Terror (3)
classic-who	4	Animated Restoration	The Macra Terror (4)
classic-who	4	Main Show	The Faceless Ones (1)
classic-who	4	Animated Restoration	The Faceless Ones (2)
classic-who	4	Main Show	The Faceless Ones (3)
classic-who	4	Animated Restoration	The Faceless Ones (4)
classic-who	4	Animated Restoration	The Faceless Ones (5)
classic-who	4	Animated Restoration	The Faceless Ones (6)
classic-who	4	Animated Restoration	The Evil of the Daleks (1)
classic-who	4	Main Show	The Evil of the Daleks (2)
classic-who	4	Animated Restoration	The Evil of the Daleks (3)
classic-who	4	Animated Restoration	The Evil of the Daleks (4)
classic-who	4	Animated Restoration	The Evil of the Daleks (5)
classic-who	4	Animated Restoration	The Evil of the Daleks (6)
classic-who	4	Animated Restoration	The Evil of the Daleks (7)
classic-who	5	Main Show	The Tomb of the Cybermen (1)
classic-who	5	Main Show	The Tomb of the Cybermen (2)
classic-who	5	Main Show	The Tomb of the Cybermen (3)
classic-who	5	Main Show	The Tomb of the Cybermen (4)
classic-who	5	Animated Restoration	The Abominable Snowmen (1)
classic-who	5	Main Show	The Abominable Snowmen (2)
classic-who	5	Animated Restoration	The Abominable Snowmen (3)
classic-who	5	Animated Restoration	The Abominable Snowmen (4)
classic-who	5	Animated Restoration	The Abominable Snowmen (5)
classic-who	5	Animated Restoration	The Abominable Snowmen (6)
classic-who	5	Main Show	The Ice Warriors (1)
classic-who	5	Animated Restoration	The Ice Warriors (2)
classic-who	5	Animated Restoration	The Ice Warriors (3)
classic-who	5	Main Show	The Ice Warriors (4)
classic-who	5	Main Show	The Ice Warriors (5)
classic-who	5	Main Show	The Ice Warriors (6)
classic-who	5	Main Show	The Enemy of the World (1)
classic-who	5	Main Show	The Enemy of the World (2)
classic-who	5	Main Show	The Enemy of the World (3)
classic-who	5	Main Show	The Enemy of the World (4)
classic-who	5	Main Show	The Enemy of the World (5)
classic-who	5	Main Show	The Enemy of the World (6)
classic-who	5	Main Show	The Web of Fear (1)
classic-who	5	Main Show	The Web of Fear (2)
classic-who	5	Animated Restoration	The Web of Fear (3)
classic-who	5	Main Show	The Web of Fear (4)
classic-who	5	Main Show	The Web of Fear (5)
classic-who	5	Main Show	The Web of Fear (6)
classic-who	5	Animated Restoration	Fury from the Deep (1)
classic-who	5	Animated Restoration	Fury from the Deep (2)
classic-who	5	Animated Restoration	Fury from the Deep (3)
classic-who	5	Animated Restoration	Fury from the Deep (4)
classic-who	5	Animated Restoration	Fury from the Deep (5)
classic-who	5	Animated Restoration	Fury from the Deep (6)
classic-who	5	Main Show	The Wheel in Space (1)
classic-who	5	Main Show	The Wheel in Space (2)
classic-who	5	Main Show	The Wheel in Space (3)
classic-who	5	Main Show	The Wheel in Space (4)
classic-who	5	Main Show	The Wheel in Space (5)
classic-who	5	Main Show	The Wheel in Space (6)
classic-who	6	Main Show	The Dominators (1)
classic-who	6	Main Show	The Dominators (2)
classic-who	6	Main Show	The Dominators (3)
classic-who	6	Main Show	The Dominators (4)
classic-who	6	Main Show	The Dominators (5)
classic-who	6	Main Show	The Mind Robber (1)
classic-who	6	Main Show	The Mind Robber (2)
classic-who	6	Main Show	The Mind Robber (3)
classic-who	6	Main Show	The Mind Robber (4)
classic-who	6	Main Show	The Mind Robber (5)
classic-who	6	Animated Restoration	The Invasion (1)
classic-who	6	Main Show	The Invasion (2)
classic-who	6	Main Show	The Invasion (3)
classic-who	6	Animated Restoration	The Invasion (4)
classic-who	6	Main Show	The Invasion (5)
classic-who	6	Main Show	The Invasion (6)
classic-who	6	Main Show	The Invasion (7)
classic-who	6	Main Show	The Invasion (8)
classic-who	6	Main Show	The Krotons (1)
classic-who	6	Main Show	The Krotons (2)
classic-who	6	Main Show	The Krotons (3)
classic-who	6	Main Show	The Krotons (4)
classic-who	6	Main Show	The Seeds of Death (1)
classic-who	6	Main Show	The Seeds of Death (2)
classic-who	6	Main Show	The Seeds of Death (3)
classic-who	6	Main Show	The Seeds of Death (4)
classic-who	6	Main Show	The Seeds of Death (5)
classic-who	6	Main Show	The Seeds of Death (6)
classic-who	6	Main Show	The Space Pirates (1)
classic-who	6	Main Show	The Space Pirates (2)
classic-who	6	Main Show	The Space Pirates (3)
classic-who	6	Main Show	The Space Pirates (4)
classic-who	6	Main Show	The Space Pirates (5)
classic-who	6	Main Show	The Space Pirates (6)
classic-who	6	Main Show	The War Games (1)
classic-who	6	Main Show	The War Games (2)
classic-who	6	Main Show	The War Games (3)
classic-who	6	Main Show	The War Games (4)
classic-who	6	Main Show	The War Games (5)
classic-who	6	Main Show	The War Games (6)
classic-who	6	Main Show	The War Games (7)
classic-who	6	Main Show	The War Games (8)
classic-who	6	Main Show	The War Games (9)
classic-who	6	Main Show	The War Games (10)
classic-who	7	Main Show	Spearhead from Space (1)
classic-who	7	Main Show	Spearhead from Space (2)
classic-who	7	Main Show	Spearhead from Space (3)
classic-who	7	Main Show	Spearhead from Space (4)
classic-who	7	Main Show	Doctor Who and the Silurians (1)
classic-who	7	Main Show	Doctor Who and the Silurians (2)
classic-who	7	Main Show	Doctor Who and the Silurians (3)
classic-who	7	Main Show	Doctor Who and the Silurians (4)
classic-who	7	Main Show	Doctor Who and the Silurians (5)
classic-who	7	Main Show	Doctor Who and the Silurians (6)
classic-who	7	Main Show	Doctor Who and the Silurians (7)
classic-who	7	Main Show	The Ambassadors of Death (1)
classic-who	7	Main Show	The Ambassadors of Death (2)
classic-who	7	Main Show	The Ambassadors of Death (3)
