season	category	title	status	note	ceiling	have
4	Minisode	The Descendants of Pompeii	ok		1080p YouTube	
4	Main Show	Planet of the Ood	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	The Sontaran Stratagem	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	The Poison Sky	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	The Doctor's Daughter	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	The Unicorn and the Wasp	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	Silence in the Library	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	Forest of the Dead	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	Midnight	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	Turn Left	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	The Stolen Earth	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Main Show	Journey's End	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
4	Minisode	Music of the Spheres	ok		576p DVD extra	720x576 25fps AAC
4	Special	The Next Doctor	ok		1080p Blu-ray, SD upscale	1080p 29.97fps AAC
4	Special	Planet of the Dead	ok		1080p Blu-ray	1080p 29.97fps AAC
4	Minisode	Tonight's the Night	ok		576p broadcast	
4	Special	The Waters of Mars	ok		1080p Blu-ray	1080p 29.97fps AAC
4	Animated Series	Dreamland	ok		1080i Blu-ray, HD master	720p 50fps AAC
4	Minisode	A Ghost Story for Christmas	ok		SD web only	
4	Special	The End of Time Part One	ok		1080p Blu-ray	1080p 29.97fps AAC
4	Special	The End of Time Part Two	ok		1080p Blu-ray	1080p 29.97fps AAC
5	Minisode	The Raggedy Doctor by Amelia Pond	ok		1080p YouTube	
5	Main Show	The Eleventh Hour	ok		1080p Blu-ray	1080p 25fps AAC
5	Minisode	Meanwhile in the TARDIS 1	ok		1080p web	
5	Main Show	The Beast Below	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	Victory of the Daleks	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	The Time of Angels	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	Flesh and Stone	ok		1080p Blu-ray	1080p 25fps AAC
5	Minisode	Meanwhile in the TARDIS 2	ok		1080p web	
5	Main Show	The Vampires of Venice	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	Amy's Choice	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	The Hungry Earth	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	Cold Blood	ok		1080p Blu-ray	1080p 25fps AAC
5	Minisode	Good as Gold	ok		576p broadcast, never on disc	720x576 25fps AAC
5	Main Show	Vincent and the Doctor	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	The Lodger	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	The Pandorica Opens	ok		1080p Blu-ray	1080p 25fps AAC
5	Main Show	The Big Bang	ok		1080p Blu-ray	1080p 25fps AAC
5	Minisode	The Boy Who Saved the Proms	ok		1080p broadcast	
5	Minisode	Death Is the Only Answer	ok		576p broadcast, never on disc	1080p 29.648fps AAC
5	Special	A Christmas Carol	ok		1080p Blu-ray	1080p 25fps AAC
6	Minisode	Space	ok		1080p web	1080p 25fps AAC
6	Minisode	Time	ok		1080p web	1080p 25fps AAC
6	Prequel	The Impossible Astronaut	ok		1080p web	1080p 25fps AAC
6	Main Show	The Impossible Astronaut	ok		1080p Blu-ray	1080p 25fps AAC
6	Main Show	Day of the Moon	ok		1080p Blu-ray	1080p 25fps AAC
6	Prequel	The Curse of the Black Spot	ok		1080p web	1080p 25fps AAC
6	Main Show	The Curse of the Black Spot	ok		1080p Blu-ray	1080p 25fps AAC
6	Minisode	Bad Night	ok		1080p web	1080p 25fps AAC
6	Main Show	The Doctor's Wife	ok		1080p Blu-ray	1080p 25fps AAC
6	Minisode	Good Night	ok		1080p web	1080p 25fps AAC
6	Main Show	The Rebel Flesh	ok		1080p Blu-ray	1080p 25fps AAC
6	Main Show	The Almost People	ok		1080p Blu-ray	1080p 25fps AAC
6	Prequel	A Good Man Goes to War	ok		1080p web	1080p 25fps AAC
6	Main Show	A Good Man Goes to War	ok		1080p Blu-ray	1080p 25fps AAC
6	Prequel	Let's Kill Hitler	ok		1080p web	1080p 25fps AAC
6	Main Show	Let's Kill Hitler	ok		1080p Blu-ray	1080p 25fps AAC
6	Main Show	Night Terrors	ok		1080p Blu-ray	1080p 25fps AAC
6	Minisode	First Night	ok		1080p web	1080p 25fps AAC
6	Minisode	Last Night	ok		1080p web	1080p 25fps AAC
6	Main Show	The Girl Who Waited	ok		1080p Blu-ray	1080p 25fps AAC
6	Main Show	The God Complex	ok		1080p Blu-ray	1080p 25fps AAC
6	Minisode	Up All Night	ok		1080p web	1080p 25fps AAC
6	Main Show	Closing Time	ok		1080p Blu-ray	1080p 25fps AAC
6	Prequel	The Wedding of River Song	ok		1080p web	1080p 25fps AAC
6	Main Show	The Wedding of River Song	ok		1080p Blu-ray	1080p 25fps AAC
6	Prequel	The Doctor, the Widow and the Wardrobe	ok		1080p web	1080p 29.97fps AAC
6	Special	The Doctor, the Widow and the Wardrobe	ok		1080p Blu-ray	1080p 25fps AAC
