season	category	title	status	note	ceiling	have
1	Special	Dimensions in Time (1)	ok		576p broadcast	
1	Special	Dimensions in Time (2)	ok		576p broadcast	
1	Special	Doctor Who and the Curse of Fatal Death (1)	ok		576p DVD	
1	Special	Doctor Who and the Curse of Fatal Death (2)	ok		576p DVD	
1	Special	Doctor Who and the Curse of Fatal Death (3)	ok		576p DVD	
1	Special	Doctor Who and the Curse of Fatal Death (4)	ok		576p DVD	
1	Animated Series	Death Comes to Time	ok		SD webcast, no disc	
1	Animated Series	Real Time	ok		SD webcast, no disc	
1	Animated Series	Scream of the Shalka	ok		SD webcast, no disc	
