season	story	seeders	gb	release	infohash
5	The Tomb of the Cybermen	0	4.68	Doctor Who   037   Patrick Troughton   The Tomb Of The Cybermen DVD (PAL)	4bd9640aba6196024dfd081bfb9f3d876811c294
5	The Ice Warriors	0	4.64	Doctor Who   039   Patrick Troughton   The Ice Warriors DVD (PAL)	98724a8e339ff929653702dea8e76a41bd2be926
5	The Enemy of the World	0	3.91	Doctor Who   040   Patrick Troughton   The Enemy Of The World DVD (PAL)	dccc09c5072898b0ac98af47f2469b93e02f0d4e
5	The Web of Fear	0	3.47	Doctor Who   041   Patrick Troughton   The Web Of Fear DVD (PAL)	e86038e132575ae274e13fbb03199f3cd701609f
5	Fury from the Deep	0	4.43	Doctor Who 042 Patrick Troughton Fury From The Deep DVD (PAL)	22a7c0b4ad378ac8a88538016cb6138b7e76ca85
6	The Dominators	0	4.55	Doctor Who   044   Patrick Troughton   The Dominators DVD (PAL)	a1354c554f1e0ef769a080b79d7ba218808020b3
6	The Mind Robber	0	8.24	Doctor Who   045   Patrick Troughton   The Mind Robber DVD (PAL)	803c7daed2f10635ada320eae14bdfc603fad08c
6	The Invasion	0	13.57	Doctor Who   046   Patrick Troughton   The Invasion DVD (PAL)	a9025b701a0e5d7c13464bf07ae604397b04ad5e
6	The Krotons	0	3.40	Doctor Who   047   Patrick Troughton   The Krotons DVD (PAL)	bbf4b9d617f592df160812368445a9962c5f89f3
6	The Seeds of Death	0	7.77	Doctor Who   048   Patrick Troughton   The Seeds Of Death DVD (PAL)	55bc825640c580c9ecd107f30e5bac4ebc2b1304
6	The War Games	0	14.04	Doctor Who   050a   Patrick Troughton   The War Games [DVD (PAL) TRBLE]	7332a28d1323d28e4442a3d95601c15e9733352c
11	The Time Warrior	0	4.68	Doctor Who   070   Jon Pertwee   The Time Warrior DVD (PAL)	4311f6b157a9fa2af52433e7759ac934c7318160
11	Invasion of the Dinosaurs	0	4.42	Doctor Who 071 Jon Pertwee Invasion Of The Dinosaurs DVD (PAL)	3c9e5cfdb9c1622e3b13bfde411f5de1284b3058
11	Death to the Daleks	0	3.66	Doctor Who 072 Jon Pertwee Death To The Daleks DVD (PAL)	6cc253154de12c929473707ae6754b3f2238482f
11	The Monster of Peladon	0	4.42	Doctor Who   073   Jon Pertwee   The Monster Of Peladon DVD (PAL)	d4ae7e679f4f87969ab15ce410ff1b6dde3345e2
11	Planet of the Spiders	0	4.42	Doctor Who 074 Jon Pertwee Planet Of The Spiders DVD (PAL)	8854e082dceb72959d119920d3175d59bbaf0056
16	The Ribos Operation	0	4.68	Doctor Who   098   Tom Baker   The Ribos Operation [DVD (PAL) TRBLE]	dd8d9ced278a4f935f76816503e7034580d1b363
16	The Pirate Planet	1	7.07	Doctor Who - 099 - Tom Baker - The Pirate Planet (Original DVD9 Rip)	004e1261b9a25eef08ef36e0b90cd66493959d13
16	The Stones of Blood	0	4.68	Doctor Who   100   Tom Baker   The Stones Of Blood [DVD (PAL) TRBLE]	939e86753a7519180f1ca59dd895eb104d91f431
16	The Androids of Tara	0	4.68	Doctor Who 101 Tom Baker The Androids Of Tara [DVD (PAL) TRBLE]	3479e4a425999332013f21bee17d4d2cba1bed60
16	The Power of Kroll	0	4.68	Doctor Who   102   Tom Baker   The Power Of Kroll [DVD (PAL) TRBLE]	b73f3f61a6fb95ebb486871c276f856f16e8da7c
16	The Armageddon Factor	0	6.82	Doctor Who - 103 - Tom Baker - The Armageddon Factor (Original DVD9 Rip)	a2ff625547b59833e8764c328fc4de9e628b0647
